#COG functions of genes with Fis binding in early exponential phase
#Here, all genes predicted as belonging to the operon with upstream binding are included
#gene	COG
b0023	Translation_ribosomal_structure_and_biogenesis
b0061	Carbohydrate_transport_and_metabolism
b0062	Carbohydrate_transport_and_metabolism
b0063	Energy_production_and_conversion
b0064	Transcription
b0081	Function_unknown
b0082	Cell_wall_membrane_envelope_biogenesis
b0083	Cell_cycle_control_cell_division_chromosome_partitioning
b0084	Cell_wall_membrane_envelope_biogenesis
b0085	Cell_wall_membrane_envelope_biogenesis
b0086	Cell_wall_membrane_envelope_biogenesis
b0087	Cell_wall_membrane_envelope_biogenesis
b0088	Cell_wall_membrane_envelope_biogenesis
b0089	Cell_cycle_control_cell_division_chromosome_partitioning
b0090	Cell_wall_membrane_envelope_biogenesis
b0091	Cell_wall_membrane_envelope_biogenesis
b0092	Cell_wall_membrane_envelope_biogenesis
b0093	Cell_wall_membrane_envelope_biogenesis
b0094	Cell_cycle_control_cell_division_chromosome_partitioning
b0095	Cell_cycle_control_cell_division_chromosome_partitioning
b0096	Cell_wall_membrane_envelope_biogenesis
b0098	Intracellular_trafficking_secretion_and_vesicular_transport
b0099	General_function_prediction_only
b0099	Replication_recombination_and_repair
b0112	Amino_acid_transport_and_metabolism
b0113	Transcription
b0114	Energy_production_and_conversion
b0115	Energy_production_and_conversion
b0116	Energy_production_and_conversion
b0118	Energy_production_and_conversion
b0119	Function_unknown
b0120	Amino_acid_transport_and_metabolism
b0121	Amino_acid_transport_and_metabolism
b0123	Secondary_metabolites_biosynthesis_transport_and_catabolism
b0142	Coenzyme_transport_and_metabolism
b0143	Translation_ribosomal_structure_and_biogenesis
b0150	Inorganic_ion_transport_and_metabolism
b0151	Coenzyme_transport_and_metabolism
b0151	Inorganic_ion_transport_and_metabolism
b0152	Inorganic_ion_transport_and_metabolism
b0153	Inorganic_ion_transport_and_metabolism
b0156	Function_unknown
b0211	Cell_wall_membrane_envelope_biogenesis
b0214	Replication_recombination_and_repair
b0215	Replication_recombination_and_repair
b0225	Function_unknown
b0226	Replication_recombination_and_repair
b0227	Cell_wall_membrane_envelope_biogenesis
b0237	Amino_acid_transport_and_metabolism
b0238	Nucleotide_transport_and_metabolism
b0267	Replication_recombination_and_repair
b0268	Cell_wall_membrane_envelope_biogenesis
b0268	Amino_acid_transport_and_metabolism
b0269	Carbohydrate_transport_and_metabolism
b0269	Amino_acid_transport_and_metabolism
b0283	Posttranslational_modification_protein_turnover_chaperones
b0284	Energy_production_and_conversion
b0285	Energy_production_and_conversion
b0286	Energy_production_and_conversion
b0287	Function_unknown
b0316	Transcription
b0328	Amino_acid_transport_and_metabolism
b0342	General_function_prediction_only
b0343	Carbohydrate_transport_and_metabolism
b0343	General_function_prediction_only
b0343	Inorganic_ion_transport_and_metabolism
b0343	Amino_acid_transport_and_metabolism
b0344	Carbohydrate_transport_and_metabolism
b0355	General_function_prediction_only
b0356	Energy_production_and_conversion
b0357	Function_unknown
b0391	Function_unknown
b0401	Amino_acid_transport_and_metabolism
b0402	Amino_acid_transport_and_metabolism
b0403	Carbohydrate_transport_and_metabolism
b0404	Function_unknown
b0405	Translation_ribosomal_structure_and_biogenesis
b0450	Amino_acid_transport_and_metabolism
b0451	Inorganic_ion_transport_and_metabolism
b0454	Replication_recombination_and_repair
b0462	Defense_mechanisms
b0463	Cell_wall_membrane_envelope_biogenesis
b0464	Transcription
b0469	Nucleotide_transport_and_metabolism
b0476	Lipid_transport_and_metabolism
b0477	Carbohydrate_transport_and_metabolism
b0506	Transcription
b0524	Function_unknown
b0525	Posttranslational_modification_protein_turnover_chaperones
b0526	Translation_ribosomal_structure_and_biogenesis
b0535	Transcription
b0535	Signal_transduction_mechanisms
b0583	Secondary_metabolites_biosynthesis_transport_and_catabolism
b0584	Inorganic_ion_transport_and_metabolism
b0585	Inorganic_ion_transport_and_metabolism
b0586	Secondary_metabolites_biosynthesis_transport_and_catabolism
b0587	Cell_wall_membrane_envelope_biogenesis
b0607	Signal_transduction_mechanisms
b0608	General_function_prediction_only
b0608	Amino_acid_transport_and_metabolism
b0610	Transcription
b0611	Translation_ribosomal_structure_and_biogenesis
b0621	Energy_production_and_conversion
b0624	Cell_cycle_control_cell_division_chromosome_partitioning
b0626	General_function_prediction_only
b0627	Intracellular_trafficking_secretion_and_vesicular_transport
b0630	Coenzyme_transport_and_metabolism
b0631	Function_unknown
b0638	Carbohydrate_transport_and_metabolism
b0639	Coenzyme_transport_and_metabolism
b0640	Replication_recombination_and_repair
b0641	Cell_wall_membrane_envelope_biogenesis
b0642	Translation_ribosomal_structure_and_biogenesis
b0680	Translation_ribosomal_structure_and_biogenesis
b0686	General_function_prediction_only
b0687	Replication_recombination_and_repair
b0688	Carbohydrate_transport_and_metabolism
b0740	Intracellular_trafficking_secretion_and_vesicular_transport
b0741	Cell_wall_membrane_envelope_biogenesis
b0742	Function_unknown
b0779	Replication_recombination_and_repair
b0801	Energy_production_and_conversion
b0807	General_function_prediction_only
b0809	Amino_acid_transport_and_metabolism
b0810	Amino_acid_transport_and_metabolism
b0811	Signal_transduction_mechanisms
b0811	Amino_acid_transport_and_metabolism
b0835	Translation_ribosomal_structure_and_biogenesis
b0854	Amino_acid_transport_and_metabolism
b0856	Amino_acid_transport_and_metabolism
b0857	Amino_acid_transport_and_metabolism
b0880	Transcription
b0881	Function_unknown
b0893	Translation_ribosomal_structure_and_biogenesis
b0953	Translation_ribosomal_structure_and_biogenesis
b0972	Energy_production_and_conversion
b0973	Energy_production_and_conversion
b0974	Energy_production_and_conversion
b0975	Energy_production_and_conversion
b1000	Posttranslational_modification_protein_turnover_chaperones
b1008	Energy_production_and_conversion
b1009	General_function_prediction_only
b1010	Translation_ribosomal_structure_and_biogenesis
b1011	Secondary_metabolites_biosynthesis_transport_and_catabolism
b1013	Transcription
b1033	Coenzyme_transport_and_metabolism
b1033	Amino_acid_transport_and_metabolism
b1048	Inorganic_ion_transport_and_metabolism
b1049	Cell_wall_membrane_envelope_biogenesis
b1109	Energy_production_and_conversion
b1174	Cell_cycle_control_cell_division_chromosome_partitioning
b1175	Cell_cycle_control_cell_division_chromosome_partitioning
b1176	Cell_cycle_control_cell_division_chromosome_partitioning
b1216	Inorganic_ion_transport_and_metabolism
b1217	General_function_prediction_only
b1218	Inorganic_ion_transport_and_metabolism
b1250	Inorganic_ion_transport_and_metabolism
b1274	Replication_recombination_and_repair
b1279	Function_unknown
b1280	Carbohydrate_transport_and_metabolism
b1281	Nucleotide_transport_and_metabolism
b1282	Translation_ribosomal_structure_and_biogenesis
b1329	Amino_acid_transport_and_metabolism
b1450	Transcription
b1529	Intracellular_trafficking_secretion_and_vesicular_transport
b1531	Transcription
b1616	Carbohydrate_transport_and_metabolism
b1617	Carbohydrate_transport_and_metabolism
b1618	Transcription
b1634	Amino_acid_transport_and_metabolism
b1664	Intracellular_trafficking_secretion_and_vesicular_transport
b1664	Cell_wall_membrane_envelope_biogenesis
b1741	Replication_recombination_and_repair
b1854	Carbohydrate_transport_and_metabolism
b1876	Translation_ribosomal_structure_and_biogenesis
b1896	Carbohydrate_transport_and_metabolism
b1897	Carbohydrate_transport_and_metabolism
b1900	Carbohydrate_transport_and_metabolism
b1901	Carbohydrate_transport_and_metabolism
b1914	Transcription
b1914	Signal_transduction_mechanisms
b1929	General_function_prediction_only
b1930	Posttranslational_modification_protein_turnover_chaperones
b1935	Function_unknown
b1944	Cell_motility
b1945	Cell_motility
b1946	Cell_motility
b1946	Intracellular_trafficking_secretion_and_vesicular_transport
b1948	Cell_motility
b1948	Intracellular_trafficking_secretion_and_vesicular_transport
b1949	Cell_motility
b1949	Intracellular_trafficking_secretion_and_vesicular_transport
b1950	Cell_motility
b1950	Intracellular_trafficking_secretion_and_vesicular_transport
b1981	Carbohydrate_transport_and_metabolism
b1981	General_function_prediction_only
b1981	Inorganic_ion_transport_and_metabolism
b1981	Amino_acid_transport_and_metabolism
b2098	Carbohydrate_transport_and_metabolism
b2098	General_function_prediction_only
b2098	Inorganic_ion_transport_and_metabolism
b2098	Amino_acid_transport_and_metabolism
b2099	Posttranslational_modification_protein_turnover_chaperones
b2100	Carbohydrate_transport_and_metabolism
b2126	Signal_transduction_mechanisms
b2127	Transcription
b2132	Carbohydrate_transport_and_metabolism
b2133	Energy_production_and_conversion
b2136	Function_unknown
b2151	Transcription
b2175	Cell_wall_membrane_envelope_biogenesis
b2239	Energy_production_and_conversion
b2240	Carbohydrate_transport_and_metabolism
b2241	Energy_production_and_conversion
b2242	Amino_acid_transport_and_metabolism
b2243	Energy_production_and_conversion
b2247	General_function_prediction_only
b2247	Cell_wall_membrane_envelope_biogenesis
b2248	Transcription
b2276	Energy_production_and_conversion
b2277	Energy_production_and_conversion
b2278	Energy_production_and_conversion
b2278	Inorganic_ion_transport_and_metabolism
b2279	Energy_production_and_conversion
b2280	Energy_production_and_conversion
b2281	Energy_production_and_conversion
b2282	Energy_production_and_conversion
b2284	Energy_production_and_conversion
b2285	Energy_production_and_conversion
b2286	Energy_production_and_conversion
b2287	Energy_production_and_conversion
b2295	Function_unknown
b2296	Energy_production_and_conversion
b2297	General_function_prediction_only
b2311	Coenzyme_transport_and_metabolism
b2312	Nucleotide_transport_and_metabolism
b2313	General_function_prediction_only
b2316	Lipid_transport_and_metabolism
b2339	Cell_motility
b2339	Intracellular_trafficking_secretion_and_vesicular_transport
b2340	Signal_transduction_mechanisms
b2343	Function_unknown
b2344	Lipid_transport_and_metabolism
b2364	Transcription
b2365	Carbohydrate_transport_and_metabolism
b2365	Amino_acid_transport_and_metabolism
b2366	Amino_acid_transport_and_metabolism
b2379	Amino_acid_transport_and_metabolism
b2380	Signal_transduction_mechanisms
b2381	Transcription
b2381	Signal_transduction_mechanisms
b2382	Transcription
b2400	Translation_ribosomal_structure_and_biogenesis
b2412	Cell_cycle_control_cell_division_chromosome_partitioning
b2413	Amino_acid_transport_and_metabolism
b2414	Amino_acid_transport_and_metabolism
b2415	Carbohydrate_transport_and_metabolism
b2416	Carbohydrate_transport_and_metabolism
b2417	Carbohydrate_transport_and_metabolism
b2435	Cell_wall_membrane_envelope_biogenesis
b2436	Coenzyme_transport_and_metabolism
b2517	General_function_prediction_only
b2579	General_function_prediction_only
b2580	Replication_recombination_and_repair
b2610	Intracellular_trafficking_secretion_and_vesicular_transport
b2627	General_function_prediction_only
b2660	General_function_prediction_only
b2661	Energy_production_and_conversion
b2662	Amino_acid_transport_and_metabolism
b2663	Amino_acid_transport_and_metabolism
b2687	Signal_transduction_mechanisms
b2714	Transcription
b2716	Carbohydrate_transport_and_metabolism
b2748	Cell_cycle_control_cell_division_chromosome_partitioning
b2813	Cell_wall_membrane_envelope_biogenesis
b2818	Amino_acid_transport_and_metabolism
b2819	Replication_recombination_and_repair
b2820	Replication_recombination_and_repair
b2821	Posttranslational_modification_protein_turnover_chaperones
b2829	Signal_transduction_mechanisms
b2830	General_function_prediction_only
b2830	Replication_recombination_and_repair
b2831	Replication_recombination_and_repair
b2903	Amino_acid_transport_and_metabolism
b2904	Amino_acid_transport_and_metabolism
b2905	Amino_acid_transport_and_metabolism
b2924	Cell_wall_membrane_envelope_biogenesis
b2925	Carbohydrate_transport_and_metabolism
b2926	Carbohydrate_transport_and_metabolism
b2927	Carbohydrate_transport_and_metabolism
b2942	Coenzyme_transport_and_metabolism
b2945	Replication_recombination_and_repair
b2949	Replication_recombination_and_repair
b2960	General_function_prediction_only
b2961	Replication_recombination_and_repair
b2962	Energy_production_and_conversion
b2962	Posttranslational_modification_protein_turnover_chaperones
b2963	Cell_wall_membrane_envelope_biogenesis
b2966	General_function_prediction_only
b2970	Intracellular_trafficking_secretion_and_vesicular_transport
b2975	Energy_production_and_conversion
b2976	Energy_production_and_conversion
b2977	General_function_prediction_only
b2979	Energy_production_and_conversion
b2980	Transcription
b2988	Amino_acid_transport_and_metabolism
b2990	Posttranslational_modification_protein_turnover_chaperones
b2991	General_function_prediction_only
b2993	Energy_production_and_conversion
b2994	Energy_production_and_conversion
b2996	Energy_production_and_conversion
b2997	Energy_production_and_conversion
b3001	Energy_production_and_conversion
b3010	Transcription
b3011	Energy_production_and_conversion
b3017	Secondary_metabolites_biosynthesis_transport_and_catabolism
b3028	General_function_prediction_only
b3064	Posttranslational_modification_protein_turnover_chaperones
b3065	Translation_ribosomal_structure_and_biogenesis
b3066	Replication_recombination_and_repair
b3067	Transcription
b3068	Replication_recombination_and_repair
b3072	Cell_motility
b3072	Signal_transduction_mechanisms
b3089	Amino_acid_transport_and_metabolism
b3129	Transcription
b3146	General_function_prediction_only
b3147	General_function_prediction_only
b3162	Translation_ribosomal_structure_and_biogenesis
b3162	Transcription
b3162	Replication_recombination_and_repair
b3163	General_function_prediction_only
b3165	Translation_ribosomal_structure_and_biogenesis
b3166	Translation_ribosomal_structure_and_biogenesis
b3167	Translation_ribosomal_structure_and_biogenesis
b3168	Translation_ribosomal_structure_and_biogenesis
b3169	Transcription
b3172	Amino_acid_transport_and_metabolism
b3175	Intracellular_trafficking_secretion_and_vesicular_transport
b3178	Posttranslational_modification_protein_turnover_chaperones
b3179	Translation_ribosomal_structure_and_biogenesis
b3180	Translation_ribosomal_structure_and_biogenesis
b3182	Cell_wall_membrane_envelope_biogenesis
b3185	Translation_ribosomal_structure_and_biogenesis
b3186	Translation_ribosomal_structure_and_biogenesis
b3187	Coenzyme_transport_and_metabolism
b3189	Cell_wall_membrane_envelope_biogenesis
b3190	Transcription
b3192	Secondary_metabolites_biosynthesis_transport_and_catabolism
b3193	Secondary_metabolites_biosynthesis_transport_and_catabolism
b3194	Secondary_metabolites_biosynthesis_transport_and_catabolism
b3195	Secondary_metabolites_biosynthesis_transport_and_catabolism
b3196	Inorganic_ion_transport_and_metabolism
b3197	General_function_prediction_only
b3208	Cell_wall_membrane_envelope_biogenesis
b3209	Secondary_metabolites_biosynthesis_transport_and_catabolism
b3218	Replication_recombination_and_repair
b3221	Carbohydrate_transport_and_metabolism
b3223	Carbohydrate_transport_and_metabolism
b3225	Cell_wall_membrane_envelope_biogenesis
b3225	Amino_acid_transport_and_metabolism
b3228	General_function_prediction_only
b3229	Posttranslational_modification_protein_turnover_chaperones
b3230	Translation_ribosomal_structure_and_biogenesis
b3231	Translation_ribosomal_structure_and_biogenesis
b3232	General_function_prediction_only
b3233	Function_unknown
b3236	Energy_production_and_conversion
b3237	Transcription
b3249	Cell_wall_membrane_envelope_biogenesis
b3250	Cell_wall_membrane_envelope_biogenesis
b3251	Cell_cycle_control_cell_division_chromosome_partitioning
b3257	Function_unknown
b3259	Translation_ribosomal_structure_and_biogenesis
b3260	Translation_ribosomal_structure_and_biogenesis
b3261	Transcription
b3261	Replication_recombination_and_repair
b3292	Transcription
b3311	Translation_ribosomal_structure_and_biogenesis
b3312	Translation_ribosomal_structure_and_biogenesis
b3313	Translation_ribosomal_structure_and_biogenesis
b3314	Translation_ribosomal_structure_and_biogenesis
b3315	Translation_ribosomal_structure_and_biogenesis
b3316	Translation_ribosomal_structure_and_biogenesis
b3317	Translation_ribosomal_structure_and_biogenesis
b3318	Translation_ribosomal_structure_and_biogenesis
b3319	Translation_ribosomal_structure_and_biogenesis
b3320	Translation_ribosomal_structure_and_biogenesis
b3321	Translation_ribosomal_structure_and_biogenesis
b3336	Inorganic_ion_transport_and_metabolism
