#COG functions of genes with H-NS binding in transition to stationary phase
#Here, all genes predicted as belonging to the operon with upstream binding are included
#gene	COG
b0019	Inorganic_ion_transport_and_metabolism
b0020	Transcription
b0035	General_function_prediction_only
b0036	Lipid_transport_and_metabolism
b0038	Energy_production_and_conversion
b0039	Lipid_transport_and_metabolism
b0040	Cell_wall_membrane_envelope_biogenesis
b0041	Energy_production_and_conversion
b0042	Energy_production_and_conversion
b0043	Energy_production_and_conversion
b0044	Energy_production_and_conversion
b0071	Amino_acid_transport_and_metabolism
b0072	Amino_acid_transport_and_metabolism
b0074	Amino_acid_transport_and_metabolism
b0078	Amino_acid_transport_and_metabolism
b0081	Function_unknown
b0082	Cell_wall_membrane_envelope_biogenesis
b0083	Cell_cycle_control_cell_division_chromosome_partitioning
b0084	Cell_wall_membrane_envelope_biogenesis
b0085	Cell_wall_membrane_envelope_biogenesis
b0086	Cell_wall_membrane_envelope_biogenesis
b0087	Cell_wall_membrane_envelope_biogenesis
b0088	Cell_wall_membrane_envelope_biogenesis
b0089	Cell_cycle_control_cell_division_chromosome_partitioning
b0090	Cell_wall_membrane_envelope_biogenesis
b0091	Cell_wall_membrane_envelope_biogenesis
b0092	Cell_wall_membrane_envelope_biogenesis
b0093	Cell_wall_membrane_envelope_biogenesis
b0094	Cell_cycle_control_cell_division_chromosome_partitioning
b0095	Cell_cycle_control_cell_division_chromosome_partitioning
b0096	Cell_wall_membrane_envelope_biogenesis
b0133	Coenzyme_transport_and_metabolism
b0134	Coenzyme_transport_and_metabolism
b0139	Cell_motility
b0139	Intracellular_trafficking_secretion_and_vesicular_transport
b0140	Cell_motility
b0140	Intracellular_trafficking_secretion_and_vesicular_transport
b0141	Cell_motility
b0141	Intracellular_trafficking_secretion_and_vesicular_transport
b0161	Posttranslational_modification_protein_turnover_chaperones
b0241	Cell_wall_membrane_envelope_biogenesis
b0242	Amino_acid_transport_and_metabolism
b0243	Amino_acid_transport_and_metabolism
b0270	Carbohydrate_transport_and_metabolism
b0271	Carbohydrate_transport_and_metabolism
b0278	Replication_recombination_and_repair
b0283	Posttranslational_modification_protein_turnover_chaperones
b0284	Energy_production_and_conversion
b0285	Energy_production_and_conversion
b0286	Energy_production_and_conversion
b0287	Function_unknown
b0288	General_function_prediction_only
b0294	Transcription
b0296	Translation_ribosomal_structure_and_biogenesis
b0300	Transcription
b0301	Function_unknown
b0304	Energy_production_and_conversion
b0305	Transcription
b0306	Energy_production_and_conversion
b0307	Energy_production_and_conversion
b0315	Transcription
b0316	Transcription
b0318	General_function_prediction_only
b0320	Energy_production_and_conversion
b0328	Amino_acid_transport_and_metabolism
b0359	General_function_prediction_only
b0363	Cell_wall_membrane_envelope_biogenesis
b0365	Inorganic_ion_transport_and_metabolism
b0366	Inorganic_ion_transport_and_metabolism
b0367	Inorganic_ion_transport_and_metabolism
b0368	Secondary_metabolites_biosynthesis_transport_and_catabolism
b0381	Cell_wall_membrane_envelope_biogenesis
b0428	Posttranslational_modification_protein_turnover_chaperones
b0429	Energy_production_and_conversion
b0430	Energy_production_and_conversion
b0431	Energy_production_and_conversion
b0432	Energy_production_and_conversion
b0459	General_function_prediction_only
b0488	Posttranslational_modification_protein_turnover_chaperones
b0488	Intracellular_trafficking_secretion_and_vesicular_transport
b0489	Posttranslational_modification_protein_turnover_chaperones
b0490	General_function_prediction_only
b0497	Cell_wall_membrane_envelope_biogenesis
b0499	Cell_wall_membrane_envelope_biogenesis
b0515	General_function_prediction_only
b0516	Amino_acid_transport_and_metabolism
b0517	Energy_production_and_conversion
b0528	Function_unknown
b0529	Coenzyme_transport_and_metabolism
b0531	Cell_motility
b0531	Intracellular_trafficking_secretion_and_vesicular_transport
b0532	Cell_motility
b0532	Intracellular_trafficking_secretion_and_vesicular_transport
b0535	Transcription
b0535	Signal_transduction_mechanisms
b0544	Replication_recombination_and_repair
b0545	General_function_prediction_only
b0546	Transcription
b0553	Cell_wall_membrane_envelope_biogenesis
b0555	General_function_prediction_only
b0602	General_function_prediction_only
b0603	Transcription
b0607	Signal_transduction_mechanisms
b0608	General_function_prediction_only
b0608	Amino_acid_transport_and_metabolism
b0613	Coenzyme_transport_and_metabolism
b0614	Lipid_transport_and_metabolism
b0614	Coenzyme_transport_and_metabolism
b0615	Energy_production_and_conversion
b0617	Energy_production_and_conversion
b0619	Signal_transduction_mechanisms
b0620	Transcription
b0620	Signal_transduction_mechanisms
b0621	Energy_production_and_conversion
b0647	General_function_prediction_only
b0650	Posttranslational_modification_protein_turnover_chaperones
b0692	Amino_acid_transport_and_metabolism
b0693	Amino_acid_transport_and_metabolism
b0696	Inorganic_ion_transport_and_metabolism
b0697	Inorganic_ion_transport_and_metabolism
b0698	Inorganic_ion_transport_and_metabolism
b0707	Function_unknown
b0708	Replication_recombination_and_repair
b0717	Cell_motility
b0717	Intracellular_trafficking_secretion_and_vesicular_transport
b0718	Cell_motility
b0718	Intracellular_trafficking_secretion_and_vesicular_transport
b0719	Cell_motility
b0719	Intracellular_trafficking_secretion_and_vesicular_transport
b0733	Energy_production_and_conversion
b0734	Energy_production_and_conversion
b0769	Function_unknown
b0770	Inorganic_ion_transport_and_metabolism
b0771	Energy_production_and_conversion
b0787	General_function_prediction_only
b0812	Inorganic_ion_transport_and_metabolism
b0833	Signal_transduction_mechanisms
b0834	Signal_transduction_mechanisms
b0841	Lipid_transport_and_metabolism
b0842	Carbohydrate_transport_and_metabolism
b0842	General_function_prediction_only
b0842	Inorganic_ion_transport_and_metabolism
b0842	Amino_acid_transport_and_metabolism
b0847	General_function_prediction_only
b0875	Carbohydrate_transport_and_metabolism
b0876	Replication_recombination_and_repair
b0899	Amino_acid_transport_and_metabolism
b0900	Transcription
b0901	General_function_prediction_only
b0903	Energy_production_and_conversion
b0904	Inorganic_ion_transport_and_metabolism
b0933	Inorganic_ion_transport_and_metabolism
b0935	Energy_production_and_conversion
b0937	General_function_prediction_only
b0938	Cell_motility
b0938	Intracellular_trafficking_secretion_and_vesicular_transport
b0939	Cell_motility
b0939	Intracellular_trafficking_secretion_and_vesicular_transport
b0940	Cell_motility
b0940	Intracellular_trafficking_secretion_and_vesicular_transport
b0941	Cell_motility
b0941	Intracellular_trafficking_secretion_and_vesicular_transport
b0942	Cell_motility
b0942	Intracellular_trafficking_secretion_and_vesicular_transport
b0943	Cell_motility
b0943	Intracellular_trafficking_secretion_and_vesicular_transport
b0989	Transcription
b0990	Transcription
b1000	Posttranslational_modification_protein_turnover_chaperones
b1014	Amino_acid_transport_and_metabolism
b1015	General_function_prediction_only
b1015	Amino_acid_transport_and_metabolism
b1022	Cell_wall_membrane_envelope_biogenesis
b1023	Carbohydrate_transport_and_metabolism
b1025	Signal_transduction_mechanisms
b1037	Cell_wall_membrane_envelope_biogenesis
b1040	Transcription
b1045	General_function_prediction_only
b1046	Lipid_transport_and_metabolism
b1048	Inorganic_ion_transport_and_metabolism
b1049	Cell_wall_membrane_envelope_biogenesis
b1054	Cell_wall_membrane_envelope_biogenesis
b1055	General_function_prediction_only
b1056	Function_unknown
b1057	Energy_production_and_conversion
b1059	Amino_acid_transport_and_metabolism
b1102	Inorganic_ion_transport_and_metabolism
b1105	General_function_prediction_only
b1106	Cell_wall_membrane_envelope_biogenesis
b1107	Carbohydrate_transport_and_metabolism
b1137	Secondary_metabolites_biosynthesis_transport_and_catabolism
b1137	General_function_prediction_only
b1159	Defense_mechanisms
b1162	Transcription
b1163	Signal_transduction_mechanisms
b1168	Signal_transduction_mechanisms
b1174	Cell_cycle_control_cell_division_chromosome_partitioning
b1175	Cell_cycle_control_cell_division_chromosome_partitioning
b1176	Cell_cycle_control_cell_division_chromosome_partitioning
b1183	Transcription
b1183	Signal_transduction_mechanisms
b1184	Replication_recombination_and_repair
b1195	Function_unknown
b1197	Carbohydrate_transport_and_metabolism
b1202	Intracellular_trafficking_secretion_and_vesicular_transport
b1202	Cell_wall_membrane_envelope_biogenesis
b1216	Inorganic_ion_transport_and_metabolism
