clust2	0	2.09611		2.14199		yellow
clust3	0	1.99303		2.03778		yellow
clust4	0	1.11517		1.14802		yellow
clust5	0	3.43443		3.45029		yellow
clust6	0	3.78218		3.81559		yellow
clust8	0	2.98134		2.99663		yellow
clust1	1	5.62399		7.23077		blue
clust1	2	1.9296		2.19523		blue
clust2	3	2.08195		2.15785		blue
clust3	3	1.97208		2.0559		blue
clust4	3	1.09421		1.16331		blue
clust4	2	1.06703		1.25393		blue
clust4	1	0.980376	1.37626		blue
clust5	3	3.42707		3.45878		blue
clust5	2	3.2985		3.47634		blue
clust6	3	3.76292		3.83258		blue
clust6	2	3.72894		3.83881		blue
clust8	3	2.97398		3.00399		blue
#clust9	2	1.49916		1.66058		blue
